t,chain,T,ssq
27.0,4.0,3.557684621170063e-104,8.031327193150217
28.0,0.0,8.919726685752336e-102,8.031327193150217
28.0,1.0,3.557219017249188e-101,8.031327193150217
28.0,2.0,1.780388118133216e-101,8.031327193150217
28.0,3.0,2.668803567691199e-101,8.031327193150217
28.0,4.0,3.557219017249189e-104,8.031327193150217
29.0,0.0,8.918550782266848e-102,8.031327193150217
29.0,1.0,3.5567500627185847e-101,8.031327193150217
29.0,2.0,1.7801534063906492e-101,8.031327193150217
29.0,3.0,2.6684517345546138e-101,8.031327193150217
29.0,4.0,3.5567500627185855e-104,8.031327193150217
30.0,0.0,8.917366708284361e-102,8.031327193150217
30.0,1.0,3.556277849764452e-101,8.031327193150217
30.0,2.0,1.7799170638071058e-101,8.031327193150217
30.0,3.0,2.668097456785776e-101,8.031327193150217
30.0,4.0,3.556277849764453e-104,8.031327193150217
31.0,0.0,8.91617468101695e-102,8.031327193150217
31.0,1.0,3.555802465011746e-101,8.031327193150217
31.0,2.0,1.7796791337383763e-101,8.031327193150217
31.0,3.0,2.667740799375058e-101,8.031327193150217
31.0,4.0,3.555802465011747e-104,8.031327193150217
32.0,0.0,8.914974904996825e-102,8.031327193150217
32.0,1.0,3.555323990028645e-101,8.031327193150217
32.0,2.0,1.7794396570093344e-101,8.031327193150217
32.0,3.0,2.6673818235189865e-101,8.031327193150217
32.0,4.0,3.5553239900286455e-104,8.031327193150217
33.0,0.0,8.913767573190441e-102,8.031327193150217
33.0,1.0,3.554842501770865e-101,8.031327193150217
33.0,2.0,1.7791986721363153e-101,8.031327193150217
33.0,3.0,2.667020586953587e-101,8.031327193150217
33.0,4.0,3.554842501770866e-104,8.031327193150217
34.0,0.0,8.912552867983804e-102,8.031327193150217
34.0,1.0,3.554358072974599e-101,8.031327193150217
34.0,2.0,1.7789562155237844e-101,8.031327193150217
34.0,3.0,2.666657144249189e-101,8.031327193150217
34.0,4.0,3.5543580729746e-104,8.031327193150217
35.0,0.0,8.911330962057217e-102,8.031327193150217
35.0,1.0,3.553870772505372e-101,8.031327193150217
35.0,2.0,1.7787123216389362e-101,8.031327193150217
35.0,3.0,2.666291547072151e-101,8.031327193150217
35.0,4.0,3.5538707725053724e-104,8.031327193150217
36.0,0.0,8.910102019164693e-102,8.031327193150217
36.0,1.0,3.553380665668872e-101,8.031327193150217
36.0,2.0,1.7784670231672677e-101,8.031327193150217
36.0,3.0,2.6659238444180666e-101,8.031327193150217
36.0,4.0,3.5533806656688725e-104,8.031327193150217
37.0,0.0,8.908866194830808e-102,8.031327193150217
37.0,1.0,3.552887814488858e-101,8.031327193150217
37.0,2.0,1.7782203511516708e-101,8.031327193150217
37.0,3.0,2.6655540828202613e-101,8.031327193150217
37.0,4.0,3.5528878144888587e-104,8.031327193150217
38.0,0.0,8.907623636975715e-102,8.031327193150217
38.0,1.0,3.5523922779564185e-101,8.031327193150217
38.0,2.0,1.7779723351171847e-101,8.031327193150217
38.0,3.0,2.6651823065367984e-101,8.031327193150217
38.0,4.0,3.552392277956419e-104,8.031327193150217
39.0,0.0,8.906374486477456e-102,8.031327193150217
39.0,1.0,3.5518941122542214e-101,8.031327193150217
39.0,2.0,1.7777230031832352e-101,8.031327193150217
