t,chain,T,ssq
0.0,0.0,1.0,182307.39926443115
0.0,1.0,1.3331110370123374,182307.39926443115
0.0,2.0,1.666222074024675,182307.39926443115
0.0,3.0,1.9993331110370125,182307.39926443115
0.0,4.0,2.33244414804935,182307.39926443115
0.0,5.0,2.665555185061687,182307.39926443115
0.0,6.0,2.998666222074025,182307.39926443115
0.0,7.0,3.3317772590863624,182307.39926443115
0.0,8.0,3.6648882960986997,182307.39926443115
0.0,9.0,3.997999333111037,158346.0863374732
0.0,10.0,4.331110370123374,182307.39926443115
0.0,11.0,4.664221407135712,182307.39926443115
0.0,12.0,4.99733244414805,160010.67833412252
0.0,13.0,5.330443481160387,182307.39926443115
0.0,14.0,5.663554518172725,181057.4033809672
0.0,15.0,5.996665555185062,182307.39926443115
0.0,16.0,6.329776592197399,182307.39926443115
0.0,17.0,6.662887629209737,182307.39926443115
0.0,18.0,6.995998666222074,182307.39926443115
0.0,19.0,7.329109703234412,158119.0134460746
0.0,20.0,7.662220740246749,182307.39926443115
0.0,21.0,7.995331777259087,180807.31533848683
0.0,22.0,8.328442814271424,182307.39926443115
0.0,23.0,8.661553851283761,182307.39926443115
0.0,24.0,8.9946648882961,177265.09224006505
0.0,25.0,9.327775925308437,141687.30150526666
0.0,26.0,9.660886962320774,182307.39926443115
0.0,27.0,9.99399799933311,171722.3184790517
0.0,28.0,10.32710903634545,182307.39926443115
0.0,29.0,10.660220073357786,182307.39926443115
0.0,30.0,10.993331110370123,176830.84776271126
0.0,31.0,11.326442147382462,176193.61391731023
0.0,32.0,11.659553184394799,182307.39926443115
0.0,33.0,11.992664221407136,182307.39926443115
0.0,34.0,12.325775258419474,182307.39926443115
0.0,35.0,12.658886295431811,182307.39926443115
0.0,36.0,12.991997332444148,179744.87333518916
0.0,37.0,13.325108369456487,150155.5595945785
0.0,38.0,13.658219406468824,182291.22971816946
0.0,39.0,13.99133044348116,182307.39926443115
0.0,40.0,14.324441480493498,178538.29303788542
0.0,41.0,14.657552517505836,182307.39926443115
0.0,42.0,14.990663554518173,182307.39926443115
0.0,43.0,15.32377459153051,182307.39926443115
0.0,44.0,15.656885628542849,182307.39926443115
0.0,45.0,15.989996665555186,182307.39926443115
0.0,46.0,16.323107702567523,150491.2418230016
0.0,47.0,16.656218739579863,182307.39926443115
0.0,48.0,16.9893297765922,182307.39926443115
0.0,49.0,17.322440813604537,182307.39926443115
0.0,50.0,17.655551850616874,182307.39926443115
0.0,51.0,17.98866288762921,180326.5732061445
0.0,52.0,18.321773924641548,182307.39926443115
0.0,53.0,18.654884961653885,182307.39926443115
0.0,54.0,18.98799599866622,181591.76175979755
0.0,55.0,19.321107035678562,182307.39926443115
0.0,56.0,19.6542180726909,162269.0575899764
0.0,57.0,19.987329109703236,182307.39926443115
0.0,58.0,20.320440146715573,182307.39926443115
0.0,59.0,20.65355118372791,182307.39926443115
0.0,60.0,20.986662220740246,176369.61172749026
0.0,61.0,21.319773257752587,182307.39926443115
0.0,62.0,21.652884294764924,159420.68982298375
0.0,63.0,21.98599533177726,182307.39926443115
0.0,64.0,22.319106368789598,182307.39926443115
0.0,65.0,22.652217405801935,174029.85890189797
0.0,66.0,22.98532844281427,182307.39926443115
0.0,67.0,23.31843947982661,182307.39926443115
0.0,68.0,23.65155051683895,182307.39926443115
0.0,69.0,23.984661553851286,182307.39926443115
0.0,70.0,24.317772590863623,182307.39926443115
0.0,71.0,24.65088362787596,182307.39926443115
0.0,72.0,24.983994664888296,182307.39926443115
0.0,73.0,25.317105701900633,182307.39926443115
0.0,74.0,25.650216738912974,173569.00736909895
0.0,75.0,25.98332777592531,182307.39926443115
0.0,76.0,26.316438812937648,176429.461552596
0.0,77.0,26.649549849949985,182307.39926443115
0.0,78.0,26.98266088696232,182307.39926443115
0.0,79.0,27.31577192397466,182281.4264526767
0.0,80.0,27.648882960986995,182307.39926443115
0.0,81.0,27.981993997999336,182307.39926443115
0.0,82.0,28.315105035011673,182307.39926443115
0.0,83.0,28.64821607202401,182307.39926443115
0.0,84.0,28.981327109036346,182307.39926443115
0.0,85.0,29.314438146048683,182307.39926443115
0.0,86.0,29.64754918306102,182307.39926443115
0.0,87.0,29.98066022007336,182307.39926443115
0.0,88.0,30.313771257085698,165220.60646412856
0.0,89.0,30.646882294098035,182307.39926443115
0.0,90.0,30.97999333111037,182307.39926443115
0.0,91.0,31.31310436812271,182307.39926443115
0.0,92.0,31.646215405135045,182307.39926443115
0.0,93.0,31.979326442147386,182307.39926443115
0.0,94.0,32.312437479159726,182307.39926443115
0.0,95.0,32.645548516172056,168657.40151492134
0.0,96.0,32.9786595531844,182307.39926443115
0.0,97.0,33.31177059019674,156674.42799499253
0.0,98.0,33.644881627209074,170382.71793607678
0.0,99.0,33.97799266422141,182307.39926443115
0.0,100.0,34.31110370123375,182307.39926443115
0.0,101.0,34.644214738246085,182307.39926443115
0.0,102.0,34.97732577525842,182307.39926443115
0.0,103.0,35.31043681227076,179368.48324269333
0.0,104.0,35.643547849283095,182307.39926443115
0.0,105.0,35.97665888629543,163591.7482665113
0.0,106.0,36.30976992330777,182001.75757659695
0.0,107.0,36.642880960320106,182307.39926443115
0.0,108.0,36.97599199733244,147836.9290193689
0.0,109.0,37.30910303434479,182307.39926443115
0.0,110.0,37.642214071357124,158683.34930910377
0.0,111.0,37.97532510836946,180856.02879868733
0.0,112.0,38.3084361453818,178534.14120659925
0.0,113.0,38.641547182394135,182307.39926443115
0.0,114.0,38.97465821940647,182307.39926443115
0.0,115.0,39.30776925641881,182307.39926443115
0.0,116.0,39.640880293431145,182289.87826886133
0.0,117.0,39.97399133044348,182307.39926443115
0.0,118.0,40.30710236745582,177447.03710573944
0.0,119.0,40.640213404468156,182307.39926443115
0.0,120.0,40.97332444148049,182307.39926443115
0.0,121.0,41.30643547849283,164924.8157531459
0.0,122.0,41.639546515505174,182307.39926443115
0.0,123.0,41.97265755251751,182307.39926443115
0.0,124.0,42.30576858952985,182307.39926443115
0.0,125.0,42.638879626542185,182307.39926443115
0.0,126.0,42.97199066355452,123850.54956849744
0.0,127.0,43.30510170056686,182307.39926443115
0.0,128.0,43.638212737579195,182307.39926443115
0.0,129.0,43.97132377459153,182307.39926443115
0.0,130.0,44.30443481160387,164469.198845343
0.0,131.0,44.637545848616206,182307.39926443115
0.0,132.0,44.97065688562854,160351.35098313974
0.0,133.0,45.30376792264088,182307.39926443115
0.0,134.0,45.63687895965322,182307.39926443115
0.0,135.0,45.96998999666556,182307.39926443115
0.0,136.0,46.3031010336779,182307.39926443115
0.0,137.0,46.636212070690235,176864.37435041237
0.0,138.0,46.96932310770257,182307.39926443115
0.0,139.0,47.30243414471491,181837.3876970917
0.0,140.0,47.635545181727245,182307.39926443115
0.0,141.0,47.96865621873958,164034.88904256278
0.0,142.0,48.30176725575192,182307.39926443115
0.0,143.0,48.634878292764256,179643.57050553008
0.0,144.0,48.96798932977659,180739.7639070611
0.0,145.0,49.30110036678893,182307.39926443115
0.0,146.0,49.63421140380127,182307.39926443115
0.0,147.0,49.967322440813604,182307.39926443115
0.0,148.0,50.30043347782595,179407.80274284296
0.0,149.0,50.633544514838285,182307.39926443115
0.0,150.0,50.96665555185062,182307.39926443115
0.0,151.0,51.29976658886296,178903.17676367325
0.0,152.0,51.632877625875295,182369.58651493932
0.0,153.0,51.96598866288763,182307.39926443115
0.0,154.0,52.29909969989997,182307.39926443115
0.0,155.0,52.632210736912306,182307.39926443115
0.0,156.0,52.96532177392464,182307.39926443115
0.0,157.0,53.29843281093698,182307.39926443115
0.0,158.0,53.63154384794932,182307.39926443115
0.0,159.0,53.964654884961654,182307.39926443115
0.0,160.0,54.29776592197399,182307.39926443115
0.0,161.0,54.630876958986335,176900.47746552093
0.0,162.0,54.96398799599867,172591.72931785893
0.0,163.0,55.29709903301101,182307.39926443115
0.0,164.0,55.630210070023345,182307.39926443115
0.0,165.0,55.96332110703568,182307.39926443115
0.0,166.0,56.29643214404802,182307.39926443115
0.0,167.0,56.629543181060356,168085.4415028184
0.0,168.0,56.96265421807269,182307.39926443115
0.0,169.0,57.29576525508503,180132.90463736517
0.0,170.0,57.62887629209737,182307.39926443115
0.0,171.0,57.961987329109704,176329.67256669744
0.0,172.0,58.29509836612204,168948.41767228773
0.0,173.0,58.628209403134385,182307.39926443115
0.0,174.0,58.96132044014672,182307.39926443115
0.0,175.0,59.29443147715906,182307.39926443115
0.0,176.0,59.627542514171395,182287.3818799276
0.0,177.0,59.96065355118373,182270.136741356
0.0,178.0,60.29376458819607,179376.812067721
0.0,179.0,60.626875625208406,182307.39926443115
0.0,180.0,60.95998666222074,178571.91815227614
0.0,181.0,61.29309769923308,182307.39926443115
0.0,182.0,61.62620873624542,154193.85380792205
0.0,183.0,61.959319773257754,182307.39926443115
0.0,184.0,62.29243081027009,130505.96955286102
0.0,185.0,62.62554184728243,182307.39926443115
0.0,186.0,62.95865288429477,182307.39926443115
0.0,187.0,63.29176392130711,181670.37407319547
0.0,188.0,63.624874958319445,178600.3310702453
0.0,189.0,63.95798599533178,182307.39926443115
0.0,190.0,64.29109703234411,176411.2201376855
0.0,191.0,64.62420806935646,180699.03008500976
0.0,192.0,64.9573191063688,182307.39926443115
0.0,193.0,65.29043014338113,182307.39926443115
0.0,194.0,65.62354118039347,182307.39926443115
0.0,195.0,65.9566522174058,182307.39926443115
0.0,196.0,66.28976325441815,182307.39926443115
0.0,197.0,66.62287429143048,182307.39926443115
0.0,198.0,66.95598532844282,181061.81368707964
0.0,199.0,67.28909636545515,180559.0602830028
0.0,200.0,67.6222074024675,182307.39926443115
0.0,201.0,67.95531843947983,165048.6287662073
0.0,202.0,68.28842947649217,182307.39926443115
0.0,203.0,68.6215405135045,182307.39926443115
0.0,204.0,68.95465155051684,135762.90352613208
0.0,205.0,69.28776258752919,132923.74606762172
0.0,206.0,69.62087362454152,182307.39926443115
0.0,207.0,69.95398466155386,176536.87614184088
0.0,208.0,70.28709569856619,182307.39926443115
0.0,209.0,70.62020673557853,182307.39926443115
0.0,210.0,70.95331777259086,164374.97154877317
0.0,211.0,71.28642880960321,169377.87572091166
0.0,212.0,71.61953984661554,171205.80712984756
0.0,213.0,71.95265088362788,174023.71967607623
0.0,214.0,72.28576192064021,134330.24625251384
0.0,215.0,72.61887295765256,182307.39926443115
0.0,216.0,72.95198399466489,182307.39926443115
0.0,217.0,73.28509503167723,182307.39926443115
0.0,218.0,73.61820606868957,176766.17711114825
0.0,219.0,73.9513171057019,182307.39926443115
0.0,220.0,74.28442814271425,182307.39926443115
0.0,221.0,74.61753917972658,182307.39926443115
0.0,222.0,74.95065021673892,182009.7500409114
0.0,223.0,75.28376125375125,182307.39926443115
0.0,224.0,75.6168722907636,182307.39926443115
0.0,225.0,75.94998332777593,166693.94898063346
0.0,226.0,76.28309436478827,182307.39926443115
0.0,227.0,76.6162054018006,182307.39926443115
0.0,228.0,76.94931643881294,182307.39926443115
0.0,229.0,77.28242747582527,182307.39926443115
0.0,230.0,77.61553851283762,182307.39926443115
0.0,231.0,77.94864954984996,182307.39926443115
0.0,232.0,78.28176058686229,160755.4333100486
0.0,233.0,78.61487162387463,182307.39926443115
0.0,234.0,78.94798266088696,159292.21203438693
0.0,235.0,79.28109369789931,177015.3749944375
0.0,236.0,79.61420473491164,182307.39926443115
0.0,237.0,79.94731577192398,176368.99404293273
0.0,238.0,80.28042680893631,170930.3444285036
0.0,239.0,80.61353784594866,156745.99180798576
0.0,240.0,80.94664888296099,182307.39926443115
0.0,241.0,81.27975991997333,182307.39926443115
0.0,242.0,81.61287095698566,175346.52425777356
0.0,243.0,81.945981993998,182307.39926443115
0.0,244.0,82.27909303101035,182307.39926443115
0.0,245.0,82.61220406802268,177824.17849765444
0.0,246.0,82.94531510503502,181473.77429765894
0.0,247.0,83.27842614204735,181241.4262058608
0.0,248.0,83.6115371790597,179854.505668289
0.0,249.0,83.94464821607203,182307.39926443115
0.0,250.0,84.27775925308437,182307.39926443115
0.0,251.0,84.6108702900967,182307.39926443115
0.0,252.0,84.94398132710904,182307.39926443115
0.0,253.0,85.27709236412137,182307.39926443115
0.0,254.0,85.61020340113372,182307.39926443115
0.0,255.0,85.94331443814605,182307.39926443115
0.0,256.0,86.27642547515839,182307.39926443115
0.0,257.0,86.60953651217073,182307.39926443115
0.0,258.0,86.94264754918306,182307.39926443115
0.0,259.0,87.27575858619541,178493.24930143877
0.0,260.0,87.60886962320774,182307.39926443115
0.0,261.0,87.94198066022008,182307.39926443115
0.0,262.0,88.27509169723241,173373.05183524947
0.0,263.0,88.60820273424476,180659.82390566362
0.0,264.0,88.94131377125709,174359.7441457772
0.0,265.0,89.27442480826943,182307.39926443115
0.0,266.0,89.60753584528176,182307.39926443115
0.0,267.0,89.9406468822941,182307.39926443115
0.0,268.0,90.27375791930643,182307.39926443115
0.0,269.0,90.60686895631878,165925.96454652224
0.0,270.0,90.93997999333112,137981.58652498835
0.0,271.0,91.27309103034345,182307.39926443115
0.0,272.0,91.6062020673558,160094.63441463318
0.0,273.0,91.93931310436813,182307.39926443115
0.0,274.0,92.27242414138047,182307.39926443115
0.0,275.0,92.6055351783928,180393.52256217157
0.0,276.0,92.93864621540514,182307.39926443115
0.0,277.0,93.27175725241747,182307.39926443115
0.0,278.0,93.60486828942982,162494.01667869842
0.0,279.0,93.93797932644215,173946.46827156
0.0,280.0,94.27109036345449,182307.39926443115
0.0,281.0,94.60420140046682,182307.39926443115
0.0,282.0,94.93731243747916,174825.7237740508
0.0,283.0,95.27042347449151,173953.5785622974
0.0,284.0,95.60353451150384,142774.66988767253
0.0,285.0,95.93664554851618,131165.11533330072
0.0,286.0,96.26975658552851,171525.98924509098
0.0,287.0,96.60286762254086,182307.39926443115
0.0,288.0,96.93597865955319,181489.64865338808
0.0,289.0,97.26908969656553,172106.9166680888
0.0,290.0,97.60220073357786,182047.44496872724
0.0,291.0,97.9353117705902,182307.39926443115
0.0,292.0,98.26842280760253,182307.39926443115
0.0,293.0,98.60153384461488,149344.54058984917
0.0,294.0,98.93464488162721,182307.39926443115
0.0,295.0,99.26775591863955,163861.97487730024
0.0,296.0,99.6008669556519,182307.39926443115
0.0,297.0,99.93397799266423,182307.39926443115
0.0,298.0,100.26708902967657,182307.39926443115
0.0,299.0,100.6002000666889,182307.39926443115
0.0,300.0,100.93331110370124,182307.39926443115
0.0,301.0,101.26642214071357,182307.39926443115
0.0,302.0,101.59953317772592,182307.39926443115
0.0,303.0,101.93264421473825,182307.39926443115
0.0,304.0,102.26575525175059,182307.39926443115
0.0,305.0,102.59886628876292,167020.3826009215
0.0,306.0,102.93197732577526,182307.39926443115
0.0,307.0,103.2650883627876,166727.45170220826
0.0,308.0,103.59819939979994,182307.39926443115
0.0,309.0,103.93131043681228,182307.39926443115
0.0,310.0,104.26442147382461,182307.39926443115
0.0,311.0,104.59753251083696,182307.39926443115
0.0,312.0,104.93064354784929,153672.93378045806
0.0,313.0,105.26375458486163,182307.39926443115
0.0,314.0,105.59686562187396,182307.39926443115
0.0,315.0,105.9299766588863,163032.08411055245
0.0,316.0,106.26308769589863,182307.39926443115
0.0,317.0,106.59619873291098,176469.88849148006
0.0,318.0,106.92930976992331,178978.57212406793
0.0,319.0,107.26242080693565,182307.39926443115
0.0,320.0,107.59553184394798,182307.39926443115
0.0,321.0,107.92864288096033,182307.39926443115
0.0,322.0,108.26175391797267,182307.39926443115
0.0,323.0,108.594864954985,182307.39926443115
0.0,324.0,108.92797599199734,161026.27584324928
0.0,325.0,109.26108702900967,182307.39926443115
0.0,326.0,109.59419806602202,182307.39926443115
0.0,327.0,109.92730910303435,142957.81519356844
0.0,328.0,110.26042014004669,174965.0147027264
0.0,329.0,110.59353117705902,173287.74977355974
0.0,330.0,110.92664221407136,182307.39926443115
0.0,331.0,111.2597532510837,170326.53707695182
0.0,332.0,111.59286428809604,154358.79538442392
0.0,333.0,111.92597532510838,181435.02985543857
0.0,334.0,112.25908636212071,132327.6399525408
0.0,335.0,112.59219739913306,174862.33379245255
0.0,336.0,112.92530843614539,182307.39926443115
0.0,337.0,113.25841947315773,182307.39926443115
0.0,338.0,113.59153051017006,182307.39926443115
0.0,339.0,113.9246415471824,182307.39926443115
0.0,340.0,114.25775258419473,165978.67880511878
0.0,341.0,114.59086362120708,182307.39926443115
0.0,342.0,114.92397465821941,179562.46013429452
0.0,343.0,115.25708569523175,133921.29096153303
0.0,344.0,115.59019673224408,182307.39926443115
0.0,345.0,115.92330776925643,182307.39926443115
0.0,346.0,116.25641880626877,182307.39926443115
0.0,347.0,116.5895298432811,182307.39926443115
0.0,348.0,116.92264088029344,182307.39926443115
0.0,349.0,117.25575191730577,162600.28105288465
0.0,350.0,117.58886295431812,181683.2805755019
0.0,351.0,117.92197399133045,124490.04211281051
0.0,352.0,118.25508502834279,182307.39926443115
0.0,353.0,118.58819606535512,175911.4246079675
0.0,354.0,118.92130710236746,182307.39926443115
0.0,355.0,119.2544181393798,182307.39926443115
0.0,356.0,119.58752917639214,168952.6690061517
0.0,357.0,119.92064021340447,182307.39926443115
0.0,358.0,120.25375125041681,182307.39926443115
0.0,359.0,120.58686228742916,178545.36031083754
0.0,360.0,120.91997332444149,182307.39926443115
0.0,361.0,121.25308436145383,182307.39926443115
0.0,362.0,121.58619539846616,182307.39926443115
0.0,363.0,121.9193064354785,182307.39926443115
0.0,364.0,122.25241747249083,182307.39926443115
0.0,365.0,122.58552850950318,177343.20484998295
0.0,366.0,122.91863954651551,137567.83521126522
0.0,367.0,123.25175058352785,182307.39926443115
0.0,368.0,123.58486162054018,176264.5410026398
0.0,369.0,123.91797265755253,182307.39926443115
0.0,370.0,124.25108369456485,181239.28227311623
0.0,371.0,124.5841947315772,182307.39926443115
0.0,372.0,124.91730576858954,140386.04621484224
0.0,373.0,125.25041680560187,160050.60229776116
0.0,374.0,125.58352784261422,182307.39926443115
0.0,375.0,125.91663887962655,182265.58184031263
0.0,376.0,126.24974991663889,182307.39926443115
0.0,377.0,126.58286095365122,134931.79818957375
0.0,378.0,126.91597199066356,182307.39926443115
0.0,379.0,127.2490830276759,182307.39926443115
0.0,380.0,127.58219406468824,145973.38021240642
0.0,381.0,127.91530510170057,182307.39926443115
0.0,382.0,128.2484161387129,182307.39926443115
0.0,383.0,128.58152717572523,173644.43636002167
0.0,384.0,128.9146382127376,157916.14938194896
0.0,385.0,129.24774924974992,169269.2179069427
0.0,386.0,129.58086028676226,167338.33039107727
0.0,387.0,129.9139713237746,182307.39926443115
0.0,388.0,130.24708236078695,177570.28245564
0.0,389.0,130.58019339779926,157910.8564950472
0.0,390.0,130.9133044348116,182307.39926443115
0.0,391.0,131.24641547182395,151005.30940339863
0.0,392.0,131.5795265088363,182307.39926443115
0.0,393.0,131.9126375458486,168585.08086209526
0.0,394.0,132.24574858286095,156375.6261443109
0.0,395.0,132.5788596198733,182307.39926443115
0.0,396.0,132.91197065688564,182307.39926443115
0.0,397.0,133.245081693898,182307.39926443115
0.0,398.0,133.5781927309103,182307.39926443115
0.0,399.0,133.91130376792265,182307.39926443115
0.0,400.0,134.244414804935,182307.39926443115
0.0,401.0,134.57752584194733,182307.39926443115
0.0,402.0,134.91063687895965,182307.39926443115
0.0,403.0,135.243747915972,182307.39926443115
0.0,404.0,135.57685895298434,182307.39926443115
0.0,405.0,135.90996998999668,182307.39926443115
0.0,406.0,136.243081027009,182307.39926443115
0.0,407.0,136.57619206402134,155820.53489388904
0.0,408.0,136.9093031010337,182307.39926443115
0.0,409.0,137.24241413804603,182307.39926443115
0.0,410.0,137.57552517505837,182307.39926443115
0.0,411.0,137.9086362120707,153402.75537218247
0.0,412.0,138.24174724908303,135080.4063009675
0.0,413.0,138.57485828609538,164120.13995391512
0.0,414.0,138.90796932310772,182307.39926443115
0.0,415.0,139.24108036012004,182307.39926443115
0.0,416.0,139.57419139713238,166503.96172102122
0.0,417.0,139.90730243414473,182307.39926443115
0.0,418.0,140.24041347115707,182307.39926443115
0.0,419.0,140.57352450816938,182307.39926443115
0.0,420.0,140.90663554518173,182307.39926443115
0.0,421.0,141.23974658219407,164288.8213866331
0.0,422.0,141.57285761920642,182307.39926443115
0.0,423.0,141.90596865621876,182307.39926443115
0.0,424.0,142.23907969323108,182307.39926443115
0.0,425.0,142.57219073024342,182307.39926443115
0.0,426.0,142.90530176725576,182307.39926443115
0.0,427.0,143.2384128042681,175669.9891947368
0.0,428.0,143.57152384128042,182307.39926443115
0.0,429.0,143.90463487829277,182307.39926443115
0.0,430.0,144.2377459153051,182307.39926443115
0.0,431.0,144.57085695231746,182307.39926443115
0.0,432.0,144.90396798932977,182307.39926443115
0.0,433.0,145.23707902634212,158731.91497961062
0.0,434.0,145.57019006335446,176406.99298574057
0.0,435.0,145.9033011003668,182307.39926443115
0.0,436.0,146.23641213737915,182307.39926443115
0.0,437.0,146.56952317439146,144117.58250576514
0.0,438.0,146.9026342114038,176809.09776737215
0.0,439.0,147.23574524841615,182307.39926443115
0.0,440.0,147.5688562854285,182307.39926443115
0.0,441.0,147.9019673224408,182307.39926443115
0.0,442.0,148.23507835945315,182307.39926443115
0.0,443.0,148.5681893964655,148828.26353194995
0.0,444.0,148.90130043347784,182307.39926443115
0.0,445.0,149.23441147049016,182307.39926443115
